coin,best_window,best_combo,models,return_pct,combined_score,feature_set,n_features,optimal_features,horizon,gamma,rank,sampler
LINK,100,RF+LGBM,RF+LGBM,1.81,1.4538,D,13,"logret_72h,volatility_12h,adx_14h,pysr_2,sma20_to_sma50h,logret_120h,m_nasdaq_chg1d,xa_nasdaq_relstr5d,vol_ratio_12_48,price_to_sma100h,xa_eth_usd_relstr5d,hour_sin,spread_24h_4h",6,0.997,1,Grid
LINK,100,XGB+LGBM,XGB+LGBM,-0.06,1.2073,D,13,"logret_72h,volatility_12h,adx_14h,pysr_2,sma20_to_sma50h,logret_120h,m_nasdaq_chg1d,xa_nasdaq_relstr5d,vol_ratio_12_48,price_to_sma100h,xa_eth_usd_relstr5d,hour_sin,spread_24h_4h",6,0.995,2,Grid
LINK,100,RF+LGBM,RF+LGBM,0.09,1.1592,D,13,"logret_72h,volatility_12h,adx_14h,pysr_2,sma20_to_sma50h,logret_120h,m_nasdaq_chg1d,xa_nasdaq_relstr5d,vol_ratio_12_48,price_to_sma100h,xa_eth_usd_relstr5d,hour_sin,spread_24h_4h",6,0.999,3,Grid
LINK,100,RF+LGBM,RF+LGBM,0.36,1.1448,D,17,"logret_72h,volatility_12h,adx_14h,pysr_2,sma20_to_sma50h,logret_120h,m_nasdaq_chg1d,xa_nasdaq_relstr5d,vol_ratio_12_48,price_to_sma100h,xa_eth_usd_relstr5d,hour_sin,spread_24h_4h,price_to_sma50h,price_accel_24h,m_vix_vol5d,bb_position_20h",6,0.995,4,Grid
LINK,72,RF+XGB,RF+XGB,-1.5,1.0836,D,13,"logret_72h,volatility_12h,adx_14h,pysr_2,sma20_to_sma50h,logret_120h,m_nasdaq_chg1d,xa_nasdaq_relstr5d,vol_ratio_12_48,price_to_sma100h,xa_eth_usd_relstr5d,hour_sin,spread_24h_4h",6,0.997,5,Grid
LINK,72,RF+XGB,RF+XGB,-1.87,1.0215,D,17,"logret_72h,volatility_12h,adx_14h,pysr_2,sma20_to_sma50h,logret_120h,m_nasdaq_chg1d,xa_nasdaq_relstr5d,vol_ratio_12_48,price_to_sma100h,xa_eth_usd_relstr5d,hour_sin,spread_24h_4h,price_to_sma50h,price_accel_24h,m_vix_vol5d,bb_position_20h",6,0.995,6,Grid
LINK,250,XGB+LGBM,XGB+LGBM,5.52,2.2392,D,20,"logret_72h,price_to_sma100h,volatility_12h,gk_volatility_48h,pysr_3,logret_120h,adx_14h,spread_24h_4h,xa_nasdaq_relstr5d,pysr_5,vol_ratio_12_48,minus_di_14h,sma20_to_sma50h,bb_position_20h,pysr_4,xa_eth_usd_relstr5d,price_to_sma50h,hour_cos,atr_pct_14h,logret_240h",7,0.997,1,Grid
LINK,250,RF+XGB,RF+XGB,4.24,1.8882,D,25,"logret_72h,price_to_sma100h,volatility_12h,gk_volatility_48h,pysr_3,logret_120h,adx_14h,spread_24h_4h,xa_nasdaq_relstr5d,pysr_5,vol_ratio_12_48,minus_di_14h,sma20_to_sma50h,bb_position_20h,pysr_4,xa_eth_usd_relstr5d,price_to_sma50h,hour_cos,atr_pct_14h,logret_240h,pysr_1,logret_6h,intraday_range,spread_240h_24h,zscore_50h",7,0.999,2,Grid
LINK,300,XGB+LGBM,XGB+LGBM,4.98,1.7285,D,13,"logret_72h,price_to_sma100h,volatility_12h,gk_volatility_48h,pysr_3,logret_120h,adx_14h,spread_24h_4h,xa_nasdaq_relstr5d,pysr_5,vol_ratio_12_48,minus_di_14h,sma20_to_sma50h",7,0.995,3,Grid
LINK,250,XGB+LGBM,XGB+LGBM,3.52,1.4773,D,20,"logret_72h,price_to_sma100h,volatility_12h,gk_volatility_48h,pysr_3,logret_120h,adx_14h,spread_24h_4h,xa_nasdaq_relstr5d,pysr_5,vol_ratio_12_48,minus_di_14h,sma20_to_sma50h,bb_position_20h,pysr_4,xa_eth_usd_relstr5d,price_to_sma50h,hour_cos,atr_pct_14h,logret_240h",7,0.995,4,Grid
