date,BTC_USD,ETH_USD,NASDAQ,SP500,DAX
2022-12-05,16974.826171875,1259.6767578125,11239.9404296875,3998.840087890625,14447.6103515625
2022-12-06,17089.50390625,1271.65380859375,11014.8896484375,3941.260009765625,14343.1904296875
2022-12-07,16848.126953125,1232.4375,10958.5498046875,3933.919921875,14261.1904296875
2022-12-08,17233.474609375,1281.1163330078125,11082.0,3963.510009765625,14264.5595703125
2022-12-09,17133.15234375,1264.2847900390625,11004.6201171875,3934.3798828125,14370.7197265625
2022-12-10,17128.724609375,1266.3841552734375,11004.6201171875,3934.3798828125,14370.7197265625
2022-12-11,17104.193359375,1263.8685302734375,11004.6201171875,3934.3798828125,14370.7197265625
2022-12-12,17206.4375,1274.6190185546875,11143.740234375,3990.56005859375,14306.6298828125
2022-12-13,17781.318359375,1320.5491943359375,11256.8095703125,4019.64990234375,14497.8896484375
2022-12-14,17815.650390625,1309.3287353515625,11170.8896484375,3995.320068359375,14460.2001953125
2022-12-15,17364.865234375,1266.3538818359375,10810.5302734375,3895.75,13986.23046875
2022-12-16,16647.484375,1168.2593994140625,10705.41015625,3852.360107421875,13893.0703125
2022-12-17,16795.091796875,1188.1495361328125,10705.41015625,3852.360107421875,13893.0703125
2022-12-18,16757.9765625,1184.7152099609375,10705.41015625,3852.360107421875,13893.0703125
2022-12-19,16439.6796875,1167.60986328125,10546.0302734375,3817.659912109375,13942.8701171875
2022-12-20,16906.3046875,1217.70361328125,10547.1103515625,3821.6201171875,13884.66015625
2022-12-21,16817.53515625,1213.5999755859375,10709.3701171875,3878.43994140625,14097.8203125
2022-12-22,16830.341796875,1218.18212890625,10476.1201171875,3822.389892578125,13914.0703125
2022-12-23,16796.953125,1220.159423828125,10497.8603515625,3844.820068359375,13940.9296875
2022-12-24,16847.755859375,1221.1485595703125,10497.8603515625,3844.820068359375,13940.9296875
2022-12-25,16841.986328125,1218.9620361328125,10497.8603515625,3844.820068359375,13940.9296875
2022-12-26,16919.8046875,1226.974365234375,10497.8603515625,3844.820068359375,13940.9296875
2022-12-27,16717.173828125,1212.7916259765625,10353.23046875,3829.25,13995.099609375
2022-12-28,16552.572265625,1189.986083984375,10213.2900390625,3783.219970703125,13925.599609375
2022-12-29,16642.341796875,1201.5953369140625,10478.08984375,3849.280029296875,14071.7197265625
2022-12-30,16602.5859375,1199.2327880859375,10466.48046875,3839.5,13923.58984375
2022-12-31,16547.49609375,1196.771240234375,10466.48046875,3839.5,13923.58984375
2023-01-01,16625.080078125,1200.96484375,10466.48046875,3839.5,13923.58984375
2023-01-02,16688.470703125,1214.6566162109375,10466.48046875,3839.5,14069.259765625
2023-01-03,16679.857421875,1214.77880859375,10386.98046875,3824.139892578125,14181.669921875
2023-01-04,16863.23828125,1256.526611328125,10458.759765625,3852.969970703125,14490.7802734375
2023-01-05,16836.736328125,1250.4385986328125,10305.240234375,3808.10009765625,14436.3095703125
2023-01-06,16951.96875,1269.3790283203125,10569.2900390625,3895.080078125,14610.01953125
2023-01-07,16955.078125,1264.2703857421875,10569.2900390625,3895.080078125,14610.01953125
2023-01-08,17091.14453125,1287.3594970703125,10569.2900390625,3895.080078125,14610.01953125
2023-01-09,17196.5546875,1321.5389404296875,10635.650390625,3892.090087890625,14792.830078125
