date,VIX,DXY,SP500,NASDAQ,GOLD,US10Y,EURUSD,USDJPY,OIL
2022-04-29,33.400001525878906,102.95999908447266,4131.93017578125,12334.6396484375,1909.300048828125,2.88700008392334,1.0504201650619507,130.81100463867188,104.69000244140625
2022-05-02,32.34000015258789,103.73999786376953,4155.3798828125,12536.01953125,1861.800048828125,2.996000051498413,1.0535964965820312,130.01100158691406,105.16999816894531
2022-05-03,29.25,103.47000122070312,4175.47998046875,12563.759765625,1868.800048828125,2.9600000381469727,1.0509058237075806,130.11199951171875,102.41000366210938
2022-05-04,25.420000076293945,102.58999633789062,4300.169921875,12964.8603515625,1867.0,2.9170000553131104,1.0528532266616821,130.11599731445312,107.80999755859375
2022-05-05,31.200000762939453,103.75,4146.8701171875,12317.6904296875,1874.0,3.065999984741211,1.0622477531433105,129.22300720214844,108.26000213623047
2022-05-06,30.190000534057617,103.66000366210938,4123.33984375,12144.66015625,1881.199951171875,3.122999906539917,1.0539740324020386,130.3300018310547,109.7699966430664
2022-05-09,34.75,103.6500015258789,3991.239990234375,11623.25,1857.0999755859375,3.0789999961853027,1.053219199180603,130.74899291992188,103.08999633789062
2022-05-10,32.9900016784668,103.91999816894531,4001.050048828125,11737.669921875,1839.9000244140625,2.993000030517578,1.056579828262329,130.3769989013672,99.76000213623047
2022-05-11,32.560001373291016,103.8499984741211,3935.179931640625,11364.240234375,1852.5999755859375,2.9210000038146973,1.0532968044281006,130.3509979248047,105.70999908447266
2022-05-12,31.770000457763672,104.8499984741211,3930.080078125,11370.9599609375,1823.800048828125,2.816999912261963,1.05124831199646,129.8350067138672,106.12999725341797
2022-05-13,28.8700008392334,104.55999755859375,4023.889892578125,11805.0,1807.4000244140625,2.934999942779541,1.0379581451416016,128.58799743652344,110.48999786376953
2022-05-16,27.469999313354492,104.19000244140625,4008.010009765625,11662.7900390625,1813.5,2.877000093460083,1.0400632619857788,129.4320068359375,114.19999694824219
2022-05-17,26.100000381469727,103.36000061035156,4088.85009765625,11984.51953125,1818.199951171875,2.9679999351501465,1.0438958406448364,128.92300415039062,112.4000015258789
2022-05-18,30.959999084472656,103.80999755859375,3923.679931640625,11418.150390625,1815.9000244140625,2.885999917984009,1.0547856092453003,129.45399475097656,109.58999633789062
2022-05-19,29.350000381469727,102.72000122070312,3900.7900390625,11388.5,1841.199951171875,2.8550000190734863,1.0472739934921265,127.91400146484375,112.20999908447266
2022-05-20,29.43000030517578,103.1500015258789,3901.360107421875,11354.6201171875,1841.800048828125,2.7869999408721924,1.057898759841919,127.83200073242188,113.2300033569336
2022-05-23,28.479999542236328,102.08000183105469,3973.75,11535.26953125,1847.800048828125,2.8589999675750732,1.0569819211959839,127.90299987792969,110.29000091552734
2022-05-24,29.450000762939453,101.86000061035156,3941.47998046875,11264.4501953125,1865.0999755859375,2.759999990463257,1.0682048797607422,127.84600067138672,109.7699966430664
2022-05-25,28.3700008392334,102.05999755859375,3978.72998046875,11434.740234375,1846.199951171875,2.749000072479248,1.0736525058746338,126.76899719238281,110.33000183105469
2022-05-26,27.5,101.83000183105469,4057.840087890625,11740.650390625,1847.4000244140625,2.75600004196167,1.0686614513397217,127.1520004272461,114.08999633789062
2022-05-27,25.719999313354492,101.66999816894531,4158.240234375,12131.1298828125,1851.300048828125,2.743000030517578,1.0732953548431396,127.04499816894531,115.06999969482422
2022-05-30,25.719999313354492,101.66999816894531,4158.240234375,12131.1298828125,1851.300048828125,2.743000030517578,1.0731456279754639,127.28500366210938,115.06999969482422
2022-05-31,26.190000534057617,101.75,4132.14990234375,12081.3896484375,1842.699951171875,2.8440001010894775,1.0773539543151855,127.78399658203125,114.66999816894531
2022-06-01,25.690000534057617,102.55000305175781,4101.22998046875,11994.4599609375,1843.300048828125,2.930999994277954,1.0734105110168457,128.73599243164062,115.26000213623047
2022-06-02,24.719999313354492,101.7699966430664,4176.81982421875,12316.900390625,1866.5,2.9130001068115234,1.0654165744781494,130.1219940185547,116.87000274658203
2022-06-03,24.790000915527344,102.13999938964844,4108.5400390625,12012.73046875,1845.4000244140625,2.9570000171661377,1.0751069784164429,129.91799926757812,118.87000274658203
2022-06-06,25.06999969482422,102.44000244140625,4121.43017578125,12061.3701171875,1839.199951171875,3.0380001068115234,1.0726046562194824,130.70700073242188,118.5
2022-06-07,24.020000457763672,102.31999969482422,4160.68017578125,12175.23046875,1847.5,2.9719998836517334,1.0691413879394531,132.17599487304688,119.41000366210938
2022-06-08,23.959999084472656,102.54000091552734,4115.77001953125,12086.26953125,1851.9000244140625,3.0290000438690186,1.0698620080947876,132.8470001220703,122.11000061035156
2022-06-09,26.09000015258789,103.22000122070312,4017.820068359375,11754.23046875,1848.800048828125,3.0439999103546143,1.071765422821045,134.42999267578125,121.51000213623047
2022-06-10,27.75,104.1500015258789,3900.860107421875,11340.01953125,1871.5,3.1559998989105225,1.0619205236434937,134.41799926757812,120.66999816894531
2022-06-13,34.02000045776367,105.08000183105469,3749.6298828125,10809.23046875,1828.0,3.365999937057495,1.0489987134933472,134.81399536132812,120.93000030517578
2022-06-14,32.689998626708984,105.5199966430664,3735.47998046875,10828.349609375,1809.5,3.4830000400543213,1.0415147542953491,134.22500610351562,118.93000030517578
2022-06-15,29.6200008392334,105.16000366210938,3789.989990234375,11099.150390625,1815.300048828125,3.3949999809265137,1.0440592765808105,135.29400634765625,115.30999755859375
2022-06-16,32.95000076293945,103.62999725341797,3666.77001953125,10646.099609375,1845.699951171875,3.306999921798706,1.0456204414367676,134.11500549316406,117.58999633789062
2022-06-17,31.1299991607666,104.69999694824219,3674.840087890625,10798.349609375,1835.5999755859375,3.239000082015991,1.0546854734420776,132.42100524902344,109.55999755859375
2022-06-20,31.1299991607666,104.69999694824219,3674.840087890625,10798.349609375,1835.5999755859375,3.239000082015991,1.049141764640808,135.2760009765625,109.55999755859375
2022-06-21,30.190000534057617,104.44000244140625,3764.7900390625,11069.2998046875,1834.5999755859375,3.306999921798706,1.0520778894424438,135.08700561523438,110.6500015258789
2022-06-22,28.950000762939453,104.19999694824219,3759.889892578125,11053.080078125,1834.300048828125,3.1559998989105225,1.053263545036316,136.2689971923828,106.19000244140625
2022-06-23,29.049999237060547,104.43000030517578,3795.72998046875,11232.1904296875,1825.699951171875,3.068000078201294,1.0564124584197998,136.0240020751953,104.2699966430664
2022-06-24,27.229999542236328,104.19000244140625,3911.739990234375,11607.6201171875,1826.5,3.125,1.052011489868164,134.83999633789062,107.62000274658203
2022-06-27,26.950000762939453,103.94000244140625,3900.110107421875,11524.5498046875,1820.9000244140625,3.194000005722046,1.0566133260726929,135.06199645996094,109.56999969482422
2022-06-28,28.360000610351562,104.51000213623047,3821.550048828125,11181.5400390625,1817.5,3.2060000896453857,1.0580891370773315,135.43499755859375,111.76000213623047
2022-06-29,28.15999984741211,105.11000061035156,3818.830078125,11177.8896484375,1813.699951171875,3.0929999351501465,1.0523545742034912,136.0469970703125,109.77999877929688
2022-06-30,28.709999084472656,104.69000244140625,3785.3798828125,11028.740234375,1804.0999755859375,2.9719998836517334,1.04465913772583,136.58900451660156,105.76000213623047
2022-07-01,26.700000762939453,105.13999938964844,3825.330078125,11127.849609375,1798.9000244140625,2.8889999389648438,1.0477677583694458,135.78599548339844,108.43000030517578
2022-07-04,26.700000762939453,105.13999938964844,3825.330078125,11127.849609375,1798.9000244140625,2.8889999389648438,1.0433948040008545,135.04299926757812,108.43000030517578
2022-07-05,27.540000915527344,106.5,3831.389892578125,11322.240234375,1761.800048828125,2.809000015258789,1.0433186292648315,135.83999633789062,99.5
2022-07-06,26.729999542236328,107.0999984741211,3845.080078125,11361.849609375,1734.9000244140625,2.9130001068115234,1.0257673263549805,135.52099609375,98.52999877929688
2022-07-07,26.079999923706055,107.12999725341797,3902.6201171875,11621.349609375,1737.9000244140625,3.007999897003174,1.0186411142349243,135.96600341796875,102.7300033569336
2022-07-08,24.639999389648438,107.01000213623047,3899.3798828125,11635.3095703125,1740.5999755859375,3.1010000705718994,1.0169836282730103,135.91299438476562,104.79000091552734
2022-07-11,26.170000076293945,108.0199966430664,3854.429931640625,11372.599609375,1730.0,2.990999937057495,1.0166114568710327,136.30099487304688,104.08999633789062
2022-07-12,27.290000915527344,108.06999969482422,3818.800048828125,11264.73046875,1723.300048828125,2.9579999446868896,1.004752516746521,137.38800048828125,95.83999633789062
2022-07-13,26.81999969482422,107.95999908447266,3801.780029296875,11247.580078125,1734.199951171875,2.9040000438690186,1.0033109188079834,136.7259979248047,96.30000305175781
2022-07-14,26.399999618530273,108.54000091552734,3790.3798828125,11251.1904296875,1704.5,2.9600000381469727,1.0032706260681152,137.6280059814453,95.77999877929688
2022-07-15,24.229999542236328,108.05999755859375,3863.159912109375,11452.419921875,1702.4000244140625,2.930000066757202,1.0025665760040283,138.9669952392578,97.58999633789062
