,RF_rank,RF_imp,MI_rank,MI_imp,GB_rank,GB_imp,LGBM_rank,LGBM_imp,avg_rank,type
m_vix_vol20d,0.75,0.015333460530246616,0.8200000000000001,0.17392963800762384,0.5900000000000001,0.010628684115442353,0.585,0.012480798771121352,0.68625,MACRO
xa_btc_usd_relstr5d,0.64,0.012991373683888674,0.9299999999999999,0.17901759367374703,0.48,0.007435758271900916,0.6599999999999999,0.014400921658986175,0.6775,CROSS-ASSET
m_dxy_vol20d,0.62,0.012930428627688298,0.83,0.17434023017218125,0.62,0.010933779348773306,0.61,0.013056835637480798,0.6699999999999999,MACRO
logret_48h,0.83,0.018834823186207054,0.43999999999999995,0.006812340228947278,0.6599999999999999,0.012829909684992308,0.745,0.01728110599078341,0.66875,BASE
m_gold_zscore,0.77,0.0167907440773325,0.14500000000000002,0.0,0.85,0.020367616580094998,0.84,0.020737327188940093,0.65125,MACRO
m_eurusd_vol20d,0.5800000000000001,0.012509703787012915,0.92,0.179010746197521,0.54,0.009254710378566785,0.5549999999999999,0.010368663594470046,0.6487499999999999,MACRO
xa_nasdaq_corr30d,0.56,0.01230298760215987,0.96,0.18062649275906884,0.5700000000000001,0.009891921679431974,0.49,0.00825652841781874,0.645,CROSS-ASSET
fg_ma20d,0.6699999999999999,0.014182726819638093,0.78,0.14460342015608907,0.55,0.009472986435723496,0.5700000000000001,0.011712749615975423,0.6425000000000001,SENTIMENT
xa_btc_usd_corr30d,0.52,0.010522948551603475,0.98,0.1829522677670381,0.56,0.009813512118368858,0.43999999999999995,0.005952380952380952,0.625,CROSS-ASSET
m_usdjpy_vol20d,0.55,0.011636808038799507,0.88,0.17600173941824204,0.52,0.00847772630135004,0.53,0.009408602150537635,0.6200000000000001,MACRO
logret_2h,0.74,0.01524792596188132,0.47,0.00777112147617931,0.65,0.01245379202875836,0.62,0.013440860215053764,0.62,BASE
logret_12h,0.84,0.018874565734033063,0.14500000000000002,0.0,0.6799999999999999,0.013296422406637533,0.815,0.01977726574500768,0.62,BASE
xa_eth_usd_corr10d,0.53,0.011065005134270512,0.89,0.17775636179294274,0.49,0.007682391205568977,0.5549999999999999,0.010368663594470046,0.61625,CROSS-ASSET
xa_eth_usd_corr30d,0.49,0.010276326121617071,0.8,0.17293807877267842,0.6,0.010840710220819682,0.515,0.008640552995391706,0.6012500000000001,CROSS-ASSET
m_usdjpy_zscore,0.79,0.01705439419683429,0.14500000000000002,0.0,0.64,0.011854194577403202,0.745,0.01728110599078341,0.5800000000000001,MACRO
intraday_range,0.65,0.013398323394643223,0.14500000000000002,0.0,0.63,0.011266465612984108,0.88,0.021505376344086023,0.57625,BASE
xa_btc_usd_corr10d,0.54,0.011156492799668441,0.86,0.17522918292911527,0.43999999999999995,0.005779452811187307,0.45999999999999996,0.0069124423963133645,0.575,CROSS-ASSET
fg_ma5d,0.51,0.010353635561191041,0.77,0.09162948989708042,0.51,0.007937519518484459,0.5,0.008448540706605223,0.5725,SENTIMENT
fg_chg10d,0.48,0.00940647161913499,0.7,0.02699079052046649,0.5,0.007842135382065633,0.42500000000000004,0.00576036866359447,0.52625,SENTIMENT
fg_chg5d,0.47,0.009107035327046742,0.65,0.019689681518084257,0.45999999999999996,0.006905233633686876,0.515,0.008640552995391706,0.52375,SENTIMENT
hour_sin,0.45999999999999996,0.0088854854146036,0.14500000000000002,0.0,0.71,0.01418704160748679,0.745,0.01728110599078341,0.515,BASE
fg_value,0.5,0.010317986510331936,0.61,0.0138568962364376,0.4,0.004117486195807453,0.54,0.009600614439324117,0.5125,SENTIMENT
m_oil_chg10d,0.42000000000000004,0.007134104116330196,0.73,0.028085976391243328,0.47,0.007074648511343834,0.38,0.004800307219662059,0.5,MACRO
m_eurusd_chg10d,0.43999999999999995,0.007380276752868317,0.6799999999999999,0.023797818701570606,0.43000000000000005,0.005501004580779377,0.44999999999999996,0.006144393241167435,0.49999999999999994,MACRO
m_nasdaq_chg10d,0.43000000000000005,0.007242502228435087,0.75,0.03691412406544847,0.39,0.004047503347982205,0.42500000000000004,0.00576036866359447,0.4987500000000001,MACRO
m_gold_chg10d,0.4,0.006665929513291732,0.69,0.023888938438965113,0.41000000000000003,0.0042351940034885405,0.47,0.007296466973886329,0.4925,MACRO
m_vix_chg10d,0.41000000000000003,0.006990749279203848,0.74,0.028635370916037406,0.38,0.0035101103871826595,0.41000000000000003,0.005568356374807988,0.485,MACRO
m_dxy_chg10d,0.44999999999999996,0.0076635841050270515,0.62,0.014070271734914819,0.44999999999999996,0.006352250163126688,0.38,0.004800307219662059,0.475,MACRO
m_usdjpy_chg10d,0.38,0.006219737228136879,0.63,0.016654995785310156,0.42000000000000004,0.005115358929491387,0.4,0.005376344086021506,0.4575,MACRO
m_sp500_chg10d,0.37,0.005944927976577653,0.71,0.027734428906403874,0.37,0.00331625149431902,0.36,0.004416282642089093,0.4525,MACRO
m_us10y_chg10d,0.39,0.006238910535650089,0.64,0.018237442854435404,0.36,0.0028838770702695805,0.38,0.004800307219662059,0.4425,MACRO
dow_sin,0.36,0.00444930577440612,0.14500000000000002,0.0,0.53,0.009200526724209453,0.48,0.007680491551459293,0.37875000000000003,BASE
vix_high,0.30000000000000004,0.0002752850445460123,0.5800000000000001,0.011353055309779148,0.15500000000000003,0.0,0.16500000000000004,0.0,0.30000000000000004,MACRO
dow_cos,0.35,0.0035599883735780544,0.14500000000000002,0.0,0.35,0.002381086317543901,0.35,0.002880184331797235,0.29874999999999996,BASE
vix_normal,0.33999999999999997,0.0012756133328041192,0.14500000000000002,0.0,0.33999999999999997,0.0005689942391972665,0.33999999999999997,0.0009600614439324117,0.29125,MACRO
fg_extreme_greed,0.31000000000000005,0.00029163090839494257,0.39,0.0035544096128674596,0.15500000000000003,0.0,0.16500000000000004,0.0,0.255,SENTIMENT
m_us10y_chg5d,0.14,0.0,0.52,0.009999686343541647,0.15500000000000003,0.0,0.16500000000000004,0.0,0.24500000000000002,MACRO
m_sp500_chg5d,0.14,0.0,0.51,0.009140903451845706,0.15500000000000003,0.0,0.16500000000000004,0.0,0.24250000000000002,MACRO
vix_low,0.32999999999999996,0.0011433675168700805,0.14500000000000002,0.0,0.32999999999999996,0.0004964236303000603,0.16500000000000004,0.0,0.2425,MACRO
m_oil_chg5d,0.14,0.0,0.5,0.009111184517201831,0.15500000000000003,0.0,0.16500000000000004,0.0,0.24000000000000002,MACRO
fg_extreme_fear,0.31999999999999995,0.000639193414346476,0.14500000000000002,0.0,0.31999999999999995,8.048705610371524e-05,0.16500000000000004,0.0,0.2375,SENTIMENT
m_usdjpy_vol5d,0.14,0.0,0.45999999999999996,0.007396604716392474,0.15500000000000003,0.0,0.16500000000000004,0.0,0.23,MACRO
m_vix_vol5d,0.14,0.0,0.42000000000000004,0.006173177296873167,0.15500000000000003,0.0,0.16500000000000004,0.0,0.22000000000000003,MACRO
m_us10y_vol5d,0.14,0.0,0.41000000000000003,0.0042254887769161975,0.15500000000000003,0.0,0.16500000000000004,0.0,0.21750000000000003,MACRO
m_oil_vol5d,0.14,0.0,0.4,0.004189498290599225,0.15500000000000003,0.0,0.16500000000000004,0.0,0.21500000000000002,MACRO
m_sp500_vol5d,0.14,0.0,0.38,0.0034633532294021663,0.15500000000000003,0.0,0.16500000000000004,0.0,0.21000000000000002,MACRO
m_usdjpy_chg1d,0.14,0.0,0.36,0.001819863929967802,0.15500000000000003,0.0,0.16500000000000004,0.0,0.20500000000000002,MACRO
m_eurusd_vol5d,0.14,0.0,0.35,0.0015073725279570738,0.15500000000000003,0.0,0.16500000000000004,0.0,0.2025,MACRO
m_sp500_chg1d,0.14,0.0,0.32999999999999996,0.0007251599186828273,0.15500000000000003,0.0,0.16500000000000004,0.0,0.1975,MACRO
m_vix_chg1d,0.14,0.0,0.31999999999999995,0.0006586810119055819,0.15500000000000003,0.0,0.16500000000000004,0.0,0.195,MACRO
m_us10y_chg1d,0.14,0.0,0.31000000000000005,0.0004577149578213202,0.15500000000000003,0.0,0.16500000000000004,0.0,0.19250000000000003,MACRO
m_gold_chg5d,0.14,0.0,0.30000000000000004,0.0002659136602658485,0.15500000000000003,0.0,0.16500000000000004,0.0,0.19000000000000003,MACRO
vix_extreme,0.29000000000000004,6.933463591220372e-05,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.18875000000000003,MACRO
m_vix_chg5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_dxy_chg1d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_dxy_chg5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_dxy_vol5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_nasdaq_chg5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_gold_vol5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_gold_chg1d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_usdjpy_chg5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_eurusd_chg1d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_eurusd_chg5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_nasdaq_chg1d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_nasdaq_vol5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
vix_rising_5d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
m_oil_chg1d,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
vix_spike,0.14,0.0,0.14500000000000002,0.0,0.15500000000000003,0.0,0.16500000000000004,0.0,0.15125000000000002,MACRO
