datetime,usdt_mcap,usdc_mcap,total_stable_mcap
2025-09-18 00:00:00,171006848211.07492,73594450402.46196,244601298613.53687
2025-09-19 00:00:00,171181401557.2812,74338680585.20328,245520082142.48447
2025-09-20 00:00:00,171519427516.86133,74163618655.86676,245683046172.7281
2025-09-21 00:00:00,171511067457.4239,73976208429.79012,245487275887.214
2025-09-22 00:00:00,172005777812.51822,73960703749.01588,245966481561.53412
2025-09-23 00:00:00,172157397166.50168,74131793688.85382,246289190855.3555
2025-09-24 00:00:00,172785885820.29865,73979784471.65208,246765670291.95074
2025-09-25 00:00:00,173101417753.8346,74153783390.91512,247255201144.7497
2025-09-26 00:00:00,173523720973.87344,73967925897.96547,247491646871.83893
2025-09-27 00:00:00,173535663991.02292,73769508933.57736,247305172924.60028
2025-09-28 00:00:00,174270349818.45258,73723140848.84122,247993490667.2938
2025-09-29 00:00:00,174425533712.1196,73668158839.96417,248093692552.08377
2025-09-30 00:00:00,174459824720.40707,73503911954.7772,247963736675.18427
2025-10-01 00:00:00,174690086251.1323,73395860021.48103,248085946272.61334
2025-10-02 00:00:00,174999290965.29602,73936203902.37366,248935494867.66968
2025-10-03 00:00:00,175816608503.01376,74303858028.50404,250120466531.51782
2025-10-04 00:00:00,176335566592.27377,75402867504.72406,251738434096.99783
2025-10-05 00:00:00,176304224855.29468,75340591581.69048,251644816436.98517
2025-10-06 00:00:00,177067514950.84668,75216551271.27759,252284066222.12427
2025-10-07 00:00:00,177079964922.25107,75490408399.69547,252570373321.94653
2025-10-08 00:00:00,177494668064.36362,75582405046.00488,253077073110.3685
2025-10-09 00:00:00,177950841608.52524,75665318341.2458,253616159949.77106
2025-10-10 00:00:00,178429389762.36295,75574178484.05225,254003568246.4152
2025-10-11 00:00:00,178990649162.2722,75026867754.30981,254017516916.582
2025-10-12 00:00:00,179446718177.73962,75382187140.60086,254828905318.34048
2025-10-13 00:00:00,180012440570.36078,75639712687.31621,255652153257.677
2025-10-14 00:00:00,179968076038.43332,75821593638.51003,255789669676.94336
2025-10-15 00:00:00,180724457715.88098,76219878474.08218,256944336189.96317
2025-10-16 00:00:00,180746576093.0095,76066936940.32709,256813513033.33658
