date,active_addresses,mvrv,fees_native,exchange_inflow,exchange_outflow,hashrate,tx_count,exchange_netflow
2024-07-13,610493,1.332185934559,571.0997737281479,104600.96841507388,153708.76095705476,825.50624753,1144551,-49107.79254198089
2024-07-14,497263,1.35563246782,648.2477204981923,103784.2205187452,96726.73679443562,825.50624753,1083062,7057.483724309583
2024-07-15,505297,1.429249377737,1334.0786063768498,346934.8059409308,347107.6343447542,825.50624753,1156258,-172.82840382342692
2024-07-16,517949,1.40202288654,1384.7447408594455,309720.5359109605,312008.556553904,825.50624753,1199035,-2288.0206429435057
2024-07-17,463312,1.375965390489,1573.9041097445524,272041.3924822319,291585.8020982614,825.50624753,1187616,-19544.40961602953
2024-07-18,476042,1.382115547868,1665.6034808271918,208817.57010836224,215933.49123572977,825.50624753,1182695,-7115.921127367532
2024-07-19,510183,1.401326176363,1146.1447074407563,306918.92487013113,290350.77223210334,825.50624753,1143619,16568.152638027794
2024-07-20,571318,1.396387537149,657.8930419716156,90259.5553084944,97756.65775343614,825.50624753,1106348,-7497.1024449417455
2024-07-21,533075,1.391067590184,950.5254648278394,125574.52652041678,130463.34058605605,825.50624753,1110007,-4888.814065639264
2024-07-22,497445,1.353848979336,1038.850865470303,681255.0836454658,687261.9019899868,825.50624753,1151384,-6006.818344520987
2024-07-23,520567,1.364162320053,878.5438420462616,556496.9009747899,503505.7099851918,825.50624753,1153608,52991.19098959805
2024-07-24,531361,1.31241797906,782.7972084450662,905914.4081422259,940655.5313778762,825.50624753,1134655,-34741.123235650244
2024-07-25,504084,1.261305281482,829.1125953894486,965107.886372936,970561.224333082,825.50624753,1125280,-5453.337960146018
2024-07-26,540778,1.300269266377,526.4000091381832,730077.4216859733,708876.494948708,825.50624753,1138693,21200.926737265312
2024-07-27,494615,1.29420638634,853.9039004561688,159310.46676677695,144206.8834458642,825.50624753,1073935,15103.58332091276
2024-07-28,536213,1.303869014459,431.45463520722313,92226.28249551798,84183.18131122054,825.50624753,1041777,8043.10118429744
2024-07-29,512372,1.325161560284,555.6812642709604,756823.1871307325,761417.0940555495,825.50624753,1093737,-4593.906924817013
2024-07-30,503262,1.312365258323,1158.944433132911,524337.4569994279,527556.3629448396,825.50624753,1167025,-3218.905945411767
2024-07-31,488443,1.299885681819,1211.3466385195832,456078.009994504,458743.0080346972,825.50624753,1166240,-2664.998040193226
2024-08-01,435221,1.294333602805,1350.4184628068404,504640.18036651367,470250.17372683255,825.50624753,1125933,34390.006639681116
2024-08-02,454772,1.222196076687,862.5149562455439,472132.845541848,438740.361324472,825.50624753,1087561,33392.48421737598
2024-08-03,546458,1.197022941584,481.297196714556,179041.4624782864,179764.37280222235,825.50624753,1087774,-722.9103239359392
2024-08-04,566158,1.12820082057,814.3843922437172,233112.246358816,206428.361054744,825.50624753,1043193,26683.885304072
2024-08-05,449721,1.046894790133,6602.876108284094,1094326.411585932,1250985.0981819725,825.50624753,1133164,-156658.6865960406
2024-08-06,502856,1.070994088413,807.5375468946417,716287.648471312,750547.3568936302,825.50624753,1130468,-34259.70842231822
2024-08-07,484440,1.04334034342,898.1089024602448,583049.6777615283,625084.0991923948,825.50624753,1123175,-42034.42143086647
2024-08-08,451579,1.188286179574,1081.7166574819064,455198.7172566801,492764.9142059335,825.50624753,1097066,-37566.19694925344
2024-08-09,482592,1.161165048715,794.9184019710372,392786.1963035753,384060.7457291112,825.50624753,1100553,8725.450574464106
2024-08-10,576076,1.176313250236,375.66051553032247,99101.74594873216,116540.8973005561,825.50624753,1051563,-17439.151351823937
2024-08-11,500704,1.164092891634,490.70785751216783,152310.92902002195,139779.68783545177,825.50624753,985147,12531.241184570186
2024-08-12,422856,1.235507247223,907.6574306215597,435591.1865432964,413985.2263020833,825.50624753,1060624,21605.96024121309
2024-08-13,474971,1.225075803544,612.3611426976273,201696.0160441308,206056.25404445987,825.50624753,1088875,-4360.23800032906
2024-08-14,646570,1.208075291241,722.4449055479614,376631.2343695317,379117.3078437079,825.50624753,1278666,-2486.073474176228
2024-08-15,603353,1.169434674384,883.103503605379,270351.69612126454,281149.3998547908,825.50624753,1252405,-10797.703733526287
2024-08-16,541263,1.174637752156,408.86085232483623,196220.6589461364,266300.6001124476,825.50624753,1111995,-70079.94116631118
2024-08-17,565404,1.182159792005,324.47697214478586,84602.8484831445,73777.2902275556,825.50624753,1003438,10825.558255588898
2024-08-18,519567,1.187311957234,355.51679801769944,71841.69519978297,81226.580862556,825.50624753,1029131,-9384.885662773027
2024-08-19,461113,1.189848342029,443.98124296620176,283895.06773435784,288932.5593384657,825.50624753,1042805,-5037.4916041078395
2024-08-20,463357,1.168464899842,519.4356986679602,235715.95276753715,216556.0070593349,825.50624753,1070613,19159.945708202256
2024-08-21,488674,1.190075793659,592.7835438337378,292930.9446265981,303475.2689073836,825.50624753,1084041,-10544.324280785513
2024-08-22,506943,1.188829295781,378.3685018200572,276372.9407187396,317338.3736883125,825.50624753,1093186,-40965.432969572896
2024-08-23,510832,1.241550265704,422.78707049669595,622778.316474418,562088.8640590609,825.50624753,1125193,60689.45241535711
2024-08-24,556174,1.236549839342,336.61242085396714,160649.69632840643,167475.83795934386,825.50624753,1088203,-6826.141630937433
2024-08-25,495871,1.232327033286,270.7570375535485,78929.30591842336,88117.5633003159,825.50624753,973412,-9188.257381892545
2024-08-26,538097,1.202019879745,431.5850321240308,265997.4169898868,261664.4024037248,825.50624753,1114163,4333.014586161997
2024-08-27,531187,1.115553509223,470.47888115705337,381036.89247310127,358460.10722304566,825.50624753,1132797,22576.785250055604
2024-08-28,496801,1.145344891524,448.87367957325273,417930.49724730424,416836.08204356895,825.50624753,1149274,1094.4152037352906
2024-08-29,534339,1.145887200398,419.48352688205887,272878.49943087605,304531.5258155269,825.50624753,1153728,-31653.026384650846
2024-08-30,525769,1.147529148705,359.518565933131,279343.2825683945,259589.19619820497,825.50624753,1133892,19754.08637018953
2024-08-31,539031,1.144168919039,225.028378897258,69125.2100260454,98633.08486402656,825.50624753,1012648,-29507.87483798116
2024-09-01,548611,1.112580999502,238.45790497312072,124615.15947977,102188.92295901023,825.50624753,1011212,22426.23652075976
2024-09-02,488354,1.16401176706,731.8079786053171,178761.4282559114,197393.1721092312,825.50624753,1086384,-18631.743853319815
2024-09-03,488483,1.128672126055,517.3335334614927,614647.382001329,338097.6150460474,825.50624753,1129081,276549.7669552816
2024-09-04,458154,1.138558646498,858.2899566836221,385112.2665086836,373505.42332426173,825.50624753,1108873,11606.843184421887
2024-09-05,463343,1.106758623594,946.8761326078445,314156.21920441167,242524.0815114524,825.50624753,1121084,71632.13769295928
2024-09-06,489148,1.0525684669,1253.0098091648006,409792.6143772345,366293.5052857832,825.50624753,1124382,43499.109091451275
2024-09-07,505206,1.078273407525,506.99177045942406,137889.87665695723,182316.5613057224,825.50624753,1115728,-44426.684648765164
2024-09-08,559292,1.095228013983,332.72378385170987,122822.78015852308,105399.97819816474,825.50624753,1085480,17422.801960358338
2024-09-09,486100,1.125496449016,907.9432944287341,357050.6774082992,247959.324681804,825.50624753,1158357,109091.35272649518
2024-09-10,497278,1.142796808729,1058.1151811978336,303970.1026910875,437184.4735663475,825.50624753,1166560,-133214.37087525998
2024-09-11,549027,1.125666373577,656.6437844858884,472100.3975798856,436212.4379442162,825.50624753,1170510,35887.959635669424
2024-09-12,487221,1.136793078119,804.1139455040909,320087.8371142679,228688.0659039597,825.50624753,1168620,91399.77121030822
2024-09-13,499824,1.171384484891,681.2552318991964,313490.56392909784,286292.38131190266,825.50624753,1158069,27198.182617195183
2024-09-14,525764,1.159707704065,448.3147764930739,124070.87972668276,135882.0139493682,825.50624753,1095765,-11811.134222685447
2024-09-15,541610,1.115370289006,455.039553060649,120629.55195115224,91351.45258359986,825.50624753,1086732,29278.09936755238
2024-09-16,435137,1.106154882221,1402.2307076072811,261291.78946604315,292049.6912983856,825.50624753,1101816,-30757.901832342468
2024-09-17,464540,1.124357049509,1422.2217486722748,277983.6334039793,258022.3014139534,825.50624753,1144470,19961.33199002591
2024-09-18,420578,1.133902068883,1481.2361319634113,368324.5584999777,320973.7462734794,825.50624753,1132760,47350.81222649827
2024-09-19,416530,1.178747113755,2396.081547505717,493319.6279496312,371911.0732691893,825.50624753,1178603,121408.55468044191
2024-09-20,422622,1.211736999552,2326.5905508695114,273921.3627001547,326939.3630611598,825.50624753,1156825,-53018.00036100508
2024-09-21,416815,1.228687989267,1997.6491327850931,152977.60089437355,130727.84777286043,825.50624753,1082726,22249.753121513117
2024-09-22,436396,1.216032429959,1705.4880961179772,144283.96544568887,117056.88712880744,825.50624753,1063818,27227.078316881423
2024-09-23,418609,1.239138650531,3012.43900540746,264092.9905830617,335303.97780493426,825.50624753,1135378,-71210.98722187255
2024-09-24,446356,1.235850134244,3108.604736853832,364248.8901443885,384072.6341902221,825.50624753,1144263,-19823.74404583359
2024-09-25,440864,1.197919169184,3018.3611163750456,388094.629029106,350438.3546239103,825.50624753,1151716,37656.27440519573
2024-09-26,448101,1.215335033427,2829.7921926888707,268250.2158542205,299514.63017769455,825.50624753,1151158,-31264.414323474048
2024-09-27,508839,1.236513276919,2078.663916806649,415317.7230387224,410838.3932098658,825.50624753,1202550,4479.329828856629
2024-09-28,534530,1.222292400726,1097.4772137802915,101171.6141143409,123049.54721932588,825.50624753,1113743,-21877.93310498497
2024-09-29,497779,1.212589038221,1199.1949173569717,117842.83879222386,121592.2671329086,825.50624753,1116620,-3749.428340684739
2024-09-30,509251,1.187956830369,1674.4178912314449,427064.36347602576,418141.09409468743,825.50624753,1195210,8923.269381338323
2024-10-01,552048,1.131680451655,2470.479734817449,557229.4839472498,475325.0481719676,825.50624753,1266656,81904.43577528221
2024-10-02,496823,1.102536273859,1698.246325794762,337842.3049896078,441008.5982406096,825.50624753,1156600,-103166.2932510018
2024-10-03,521417,1.100385701649,1246.9247771848748,318191.7842423546,324787.2216927805,825.50624753,1161490,-6595.437450425874
2024-10-04,471079,1.130987485668,1041.5439052009333,283759.3173246425,339643.66296357283,825.50624753,1139613,-55884.34563893033
2024-10-05,438550,1.129998034852,1015.657068564384,85225.31753934684,76522.60965851716,825.50624753,1099244,8702.70788082968
