date,active_addresses,mvrv,fees_native,exchange_inflow,exchange_outflow,hashrate,tx_count,exchange_netflow,sopr
2022-02-17,931220,1.680750155719,10.08991856,20756.98348223,24405.56310836,213573837.40352312,256201,-3648.5796261299984,
2022-02-18,940726,1.658393382535,9.18296682,27193.11499044,30195.16698648,186294129.77324116,258376,-3002.051996039998,
2022-02-19,839236,1.660632849962,6.69284896,12374.61689961,11328.53020772,207147948.8360009,218004,1046.086691890001,
2022-02-20,741534,1.597672365828,5.82067653,12792.87889424,12570.383324,200196675.81508097,202691,222.49557024000023,
2022-02-21,886316,1.53935959409,9.87642123,25959.97580783,24114.7463931,171001327.92603725,238620,1845.2294147300017,
2022-02-22,886571,1.585255941769,8.70721149,23398.90392478,23376.67133658,211318714.25012624,256251,22.232588200000464,
2022-02-23,859810,1.548559725335,8.1798461,20537.30480399,22551.86246593,208538204.64136493,253563,-2014.5576619400017,
2022-02-24,958866,1.589005849792,10.42032497,45903.3013395,39506.36989058,183513620.1644798,255800,6396.931448920004,
2022-02-25,936543,1.632120546767,11.41903295,30156.10161493,30095.22309841,186294129.77324116,260990,60.87851652000245,
2022-02-26,818914,1.621580052318,6.74253227,13174.97004348,11651.38659802,173781837.53479856,221994,1523.583445459999,
2022-02-27,768705,1.564733720961,6.86135737,13555.2225735,15692.58132039,189074637.38003567,206112,-2137.3587468900005,
2022-02-28,981066,1.785886675274,9.57794189,31388.81378757,32664.1804927,214099221.8569208,274389,-1275.36670513,
2022-03-01,1065354,1.831088158538,20.38178056,35483.56665706,34148.6366663,225221260.29196608,275460,1334.9299907599998,
2022-03-02,1091796,1.815856076135,28.40659077,29420.92368094,32233.42251322,189074637.38003567,289957,-2812.498832280002,
2022-03-03,1011448,1.753487692697,20.25082778,30215.84083153,26499.66074225,204804563.21490383,270823,3716.180089280002,
2022-03-04,949176,1.617160596022,15.17504806,26869.24665776,28497.73882771,190365287.083752,257979,-1628.492169950001,
2022-03-05,801293,1.62862859109,11.20326832,11428.50453376,11330.60900291,168452736.32210043,226147,97.8955308500008,
2022-03-06,771254,1.588284555745,9.34883795,9628.22648529,10509.56871433,179409010.7168614,205542,-881.3422290399994,
2022-03-07,917289,1.578754463552,11.28271007,21692.14415951,19354.43100185,202691097.01043913,255761,2337.7131576600004,
2022-03-08,962840,1.603838311539,10.60010007,24020.37738678,25680.43014555,202691097.01043913,258526,-1660.052758769998,
2022-03-09,960901,1.735654059064,11.37686634,23189.75006144,26959.78346752,188995751.55182588,272021,-3770.033406079998,
2022-03-10,993366,1.630630592506,11.55721584,31056.79797586,60698.22368342,198582492.38679036,259229,-29641.42570756,
2022-03-11,903967,1.605299073538,10.94863237,22283.64732984,20157.69444084,188995751.55182588,252248,2125.952889,
2022-03-12,787792,1.610487025913,7.79177469,8481.71136294,9619.81533457,213647371.4052001,222124,-1138.1039716300002,
2022-03-13,751546,1.563583025151,6.71842289,8951.46829079,8993.484477,206799699.66195828,206930,-42.01618620999943,
2022-03-14,936153,1.638923579978,10.45361332,23019.64925892,17989.91007223,209538768.7536809,263759,5029.73918669,
2022-03-15,949102,1.62739184969,9.95232555,18920.44117706,27980.65421337,190365287.083752,266692,-9060.213036309997,
2022-03-16,1014991,1.697348146346,10.25185389,23925.78823649,30904.86698645,212277837.8454036,276789,-6979.078749960001,
2022-03-17,1009859,1.69308040701,10.32467965,29248.77586078,24066.08181099,217498770.49195015,272685,5182.69404979,
2022-03-18,1004891,1.727490580808,11.00062573,42927.1324353,40630.87154008,195149455.61002576,266839,2296.2608952200026,
2022-03-19,864890,1.742021306446,7.64799944,21157.18505534,16848.00946941,211525632.9748357,236675,4309.175585929999,
2022-03-20,780069,1.705071792374,6.42009386,11207.47482012,11824.75422047,210160950.38143572,211211,-617.2794003500003,
2022-03-21,941088,1.695351371558,9.55709531,32618.24605728,43574.96748379,208796269.75317717,260248,-10956.721426510001,
2022-03-22,920483,1.748109505852,10.76904702,38867.39945801,41756.96611809,203337543.30986008,260695,-2889.566660080003,
2022-03-23,972037,1.761428760821,10.85476863,23335.50251565,25597.99552016,197878816.86654297,266381,-2262.4930045099973,
2022-03-24,966209,1.810651634482,11.69969179,40792.10733013,42359.0015403,195149455.61002576,269340,-1566.8942101700013,
2022-03-25,1068732,1.816863848057,12.70868332,44740.99273286,38883.48434695,212890313.60309428,286600,5857.508385910005,
2022-03-26,825356,1.823441620909,8.04802349,18814.42988626,20428.9516976,219713722.6398113,229765,-1614.5218113400006,
2022-03-27,812882,1.912928867709,7.5739414,18785.40867709,20920.55717868,178773276.2800745,219139,-2135.14850159,
2022-03-28,1029256,1.926069685862,10.68856005,43670.7292415,40726.76976861,216984359.4181528,289835,2943.9594728899974,
2022-03-29,972049,1.931857269809,10.12714519,38543.73166834,51012.26078765,206066906.5315186,293194,-12468.529119309998,
2022-03-30,940234,1.916462997871,11.31232477,35564.50206692,32017.84282939,184232002.7233916,269490,3546.6592375300024,
2022-03-31,979952,1.854211355144,16.96481317,25887.47052927,25499.43825659,194529355.7761953,280038,388.0322726799968,
2022-04-01,1073859,1.880179566094,19.60536896,32525.63171937,33960.66935513,200371606.9667937,286454,-1435.0376357599962,
2022-04-02,932911,1.867666383452,12.44713676,11560.54715097,10496.03269339,191845154.9534147,250576,1064.5144575800005,
2022-04-03,794992,1.886983002157,10.35102243,8659.08892652,10801.33192557,197529456.29566735,223619,-2142.2429990500004,
2022-04-04,985718,1.894586551764,12.56121556,27810.0759835,24723.33900595,224529884.601845,276178,3086.7369775499974,
2022-04-05,952254,1.855218925189,11.19517327,22814.21496939,17540.57757031,206055906.26269805,276073,5273.637399079998,
2022-04-06,919776,1.760916830916,10.0718394,30008.69220334,36691.1718826,213161283.963688,272206,-6682.479679259999,
2022-04-07,927811,1.771822948566,9.91456385,28490.34810921,24523.49629114,196108379.93693003,266096,3966.851818070001,
2022-04-08,929602,1.718699748527,11.73099289,19610.24437167,19873.16002976,190424080.6410257,270556,-262.91565809000167,
2022-04-09,786423,1.737109234767,7.92912544,9476.61588559,10015.17102894,217424508.9472033,228357,-538.5551433500004,
2022-04-10,754197,1.720498052487,6.72773788,16871.81697949,20767.402461,198950530.6080564,218201,-3895.585481510003,
2022-04-11,986075,1.612532718343,10.71721646,30114.41637204,28611.34190211,194687305.62454104,279217,1503.0744699299976,
2022-04-12,970523,1.633029961572,10.44351756,19603.40350757,20672.56336497,217424508.9472033,273114,-1069.1598573999981,
2022-04-13,960119,1.6754481725,12.18062555,17534.88677799,17608.1946057,198950530.6080564,283767,-73.3078277099994,
2022-04-14,910470,1.624100214604,11.20233309,40638.91338897,53395.28189784,194402491.2641441,259632,-12756.36850887,
2022-04-15,893942,1.648615453539,8.59006414,18793.19272399,28545.06154347,221692722.38403672,258904,-9751.868819480002,
2022-04-16,774863,1.645198704281,6.23187348,12244.69118304,11558.21992666,188017879.75639227,220729,686.4712563800003,
2022-04-17,760823,1.615563193564,5.46124629,12156.0633624,11225.91484218,231514551.65214053,211027,930.1485202200001,
2022-04-18,930250,1.660587322655,8.65537877,19809.98263703,20640.90434181,188017879.75639227,248528,-830.9217047800012,
2022-04-19,945444,1.68715900189,9.30551921,25630.6301942,24417.43486875,173986693.6444649,273229,1213.1953254500004,
2022-04-20,961981,1.683056618589,8.80298881,25051.050828,23785.19371643,224498959.60642216,283298,1265.8571115699997,
2022-04-21,970130,1.642192379664,10.9502007,72371.39904935,73267.64259725,237127026.0969115,279919,-896.2435478999978,
2022-04-22,945273,1.614479409264,10.87692103,21011.15084022,14668.89252067,189420997.35733968,261784,6342.258319550001,0.998
2022-04-23,857006,1.608260125691,8.36060096,10050.1009437,8900.61605746,228708314.42975503,238246,1149.4848862399995,0.9996
2022-04-24,796298,1.60550883035,6.51241112,8974.29238238,11052.81407486,239933263.31929696,217733,-2078.5216924800006,0.9996
2022-04-25,1003326,1.644601591866,12.93040811,30641.79811716,18504.01983692,227305196.82880765,277416,12137.77828024,0.9992
2022-04-26,965991,1.549627067302,11.49482501,29678.15238601,29357.71167476,196436589.40305808,277059,320.44071124999755,0.9981
2022-04-27,967943,1.596095580203,11.15360634,25589.57353518,25829.07002116,243520196.02683353,285596,-239.49648598000203,0.9998
2022-04-28,1003139,1.617507844772,11.28281613,22570.61721622,25755.87441968,195503621.29393408,272681,-3185.2572034600016,1.0
2022-04-29,1059989,1.572635096383,13.50347131,28866.22876176,24878.85829051,222163205.91889024,290674,3987.3704712500003,0.9981
2022-04-30,944577,1.537292898922,10.38779505,12044.99875111,9847.99445653,222163205.91889024,256188,2197.0042945800014,0.9979
2022-05-01,834397,1.567381909459,7.81212277,12956.20528451,10026.34899694,247341701.32425615,233382,2929.856287570001,0.9994
2022-05-02,966035,1.573983130319,10.57042025,29849.74969321,33766.7078545,236974085.31819177,269678,-3916.9581612899965,0.9973
2022-05-03,956710,1.540983434257,9.8250651,30102.05223985,33802.70275369,222163205.91889024,283138,-3700.650513839999,0.9982
2022-05-04,862312,1.618770611892,13.02134958,45106.94444478,32295.94648152,216238853.30606288,229490,12810.997963259997,1.0013
2022-05-05,1189734,1.493350506698,22.09571481,50955.44860705,43742.77577382,232530821.92495465,317562,7212.672833229997,0.9983
2022-05-06,1086467,1.476077962977,17.06765506,67837.48489584,51755.06646475,210314500.6932356,288758,16082.418431089995,0.9983
2022-05-07,837217,1.454866736249,13.60502393,17352.52344014,16022.23703121,211795589.91282585,234267,1330.286408930002,0.9982
2022-05-08,813799,1.397053307677,12.03910615,35730.9701152,28072.22872785,229568645.618541,223007,7658.741387349997,0.9975
2022-05-09,1067791,1.25746370058,20.60049855,149767.82568314,65464.57138478,229568645.618541,287708,84303.25429836,0.9902
2022-05-10,978190,1.282199871846,17.03896893,50072.95478328,47407.80156,227185770.43526813,279809,2665.153223280002,0.9961
2022-05-11,981424,1.198898869373,21.75626382,93319.23256782,102623.52028467,225257596.8970556,253805,-9304.287716849998,0.9887
2022-05-12,1058679,1.211574517788,30.04329805,92503.71601326,102032.4528195,209722591.14017215,282227,-9528.736806240006,0.995
2022-05-13,1028898,1.224580870454,31.42497929,54785.83597659,47809.34886657,236132103.6113232,267948,6976.4871100200035,0.9967
2022-05-14,1101356,1.254528110725,25.21522374,45769.41652234,64841.84144041,219043595.9365268,292088,-19072.42491807,1.0044
2022-05-15,1016251,1.301371234936,16.17117466,17437.22290689,16746.472444,189527081.8665909,233949,690.7504628900024,0.9994
2022-05-16,1094147,1.248816594441,21.27839456,45144.13234917,51181.10638693,254774110.96699148,272399,-6036.974037759996,0.9968
2022-05-17,1029420,1.272635339124,18.69903428,53524.64262929,51467.56918613,228364598.4958405,278212,2057.0734431599994,0.9971
2022-05-18,902599,1.204897921252,16.80345073,42133.15450108,39952.64034076,208169091.4593002,264173,2180.5141603199954,0.9928
2022-05-19,897588,1.268265640482,16.81952637,63169.33016226,47699.15458477,189527081.8665909,260343,15470.175577489994,0.9932
2022-05-20,949339,1.226785298597,17.21343134,38632.84064025,37647.03523488,198848086.6629456,269360,985.8054053699962,0.9919
2022-05-21,758937,1.235285942059,11.49816203,13042.66842739,10792.30503431,209722591.14017215,216560,2250.363393079999,0.9969
2022-05-22,749577,1.273331088604,11.86705488,15937.31200834,15580.90459553,189527081.8665909,210953,356.4074128100001,1.0008
2022-05-23,939531,1.22293867204,15.96576395,38305.40153088,38505.2928405,248560107.76942167,268759,-199.89130961999763,0.9918
2022-05-24,841611,1.246431579256,16.44777842,38774.05566483,34940.4439942,186420080.26780605,237379,3833.6116706299945,0.9975
2022-05-25,1016156,1.244237310755,19.14786095,29438.99261875,28358.56571377,219464677.3862468,284400,1080.4269049799987,0.9975
2022-05-26,894042,1.235100855496,17.47974945,41481.05449273,48458.69613665,209555370.5705583,260517,-6977.641643920004,0.9935
2022-05-27,942679,1.20688817198,17.596715,47156.52213741,40073.2221971,205096744.25322008,275683,7083.299940309997,0.9898
2022-05-28,783393,1.225163407756,11.86693737,11443.23443885,18395.89017721,219958828.4107809,227772,-6952.655738359999,0.9992
2022-05-29,751185,1.241234457517,9.82325972,15027.60768108,14366.85226867,221445035.75646704,205693,660.7554124100006,0.9998
2022-05-30,925404,1.337557348648,13.20245416,32519.73624585,34946.72410733,228876076.7651775,267947,-2426.9878614800036,1.0021
2022-05-31,998795,1.340327318645,13.96528616,32994.65621837,28546.48730611,216986411.5792688,277824,4448.16891226,1.0026
2022-06-01,962754,1.258203816602,18.9987401,51743.76412819,35326.06635124,202124327.42170793,274630,16417.69777695,0.9935
2022-06-02,945705,1.289506254729,19.37788756,24728.43926554,30180.00926073,185776038.05860087,262596,-5451.569995189999,0.9843
2022-06-03,932672,1.255277674265,18.10616262,18911.6643463,30799.04766659,212527787.4020705,269049,-11887.383320289999,0.9931
2022-06-04,776053,1.261962571345,12.51949697,19442.13109616,27092.84421913,206582953.73904613,219811,-7650.713122969999,0.9899
2022-06-05,721815,1.26746929363,9.15242774,8190.09364834,10727.93243777,216986411.5792688,195813,-2537.8387894299995,0.997
2022-06-06,952859,1.32794694055,12.75982461,30205.24426527,36376.71827002,222931245.24229312,268569,-6171.474004749998,0.9977
2022-06-07,941706,1.322740859864,11.91182851,30417.32064672,27489.02859258,240765744.09122616,265801,2928.292054139998,0.9905
2022-06-08,888118,1.283418736198,10.74681437,23521.40871174,20935.86883566,266501680.44994769,261456,2585.5398760800017,0.9955
2022-06-09,914304,1.278193263932,10.13805792,28607.20274064,28283.44257409,219787040.62041968,264597,323.7601665500006,0.9887
2022-06-10,900195,1.237117043464,13.66335226,27827.29182916,26162.10139218,221292430.34450084,259531,1665.1904369799995,0.995
2022-06-11,831309,1.208249128114,11.08947777,26090.04963602,22727.30074051,231830164.91635683,228805,3362.7488955100016,0.9918
2022-06-12,762985,1.144614146671,9.89591581,33384.51198156,41318.34292243,191184616.35301408,219703,-7933.830940870001,0.9935
2022-06-13,1011323,0.962386955567,28.93135694,130003.00394287,105362.70766103,200216961.2007889,273372,24640.296281839997,0.9797
2022-06-14,1075994,0.958749419408,25.70586325,107118.75787844,80933.39822692,219787040.62041968,275578,26185.35965151999,0.9889
2022-06-15,1063571,0.982571637347,25.34349663,92956.92377546,105933.34257084,248389462.72006267,297032,-12976.41879538,0.9933
2022-06-16,911369,0.89010384052,23.85546959,80038.63554981,75782.91610453,179141492.05707693,258005,4255.719445280003,0.9946
2022-06-17,876153,0.900449527228,22.07274902,85452.46928541,123232.75463935,162582194.25337103,248214,-37780.285353939995,0.9924
2022-06-18,924686,0.839761069586,20.3023224,89759.84649108,83421.98555215,234840946.53228176,246705,6337.860938929996,0.9913
2022-06-19,733337,0.905122908176,12.53871419,37110.59013009,37298.7849535,200216961.2007889,195875,-188.1948234099982,0.9983
2022-06-20,833932,0.909413901996,15.40168791,39775.70931754,52452.71518659,198711571.47670767,239275,-12677.005869050001,0.9955
2022-06-21,927938,0.916201262025,16.78535146,58506.33480211,54139.69908911,225808603.85226956,260657,4366.635713000003,0.9927
2022-06-22,859651,0.887627935977,16.45287556,38633.26959451,56694.10399205,193096459.39267665,247129,-18060.83439754,0.9858
2022-06-23,866807,0.936392381423,14.99802924,37042.10157601,38390.77218772,223431041.43862215,258973,-1348.6706117100039,0.9961
2022-06-24,869532,0.946260674502,15.90724606,43281.5138012,37967.78275468,189622395.5064278,250666,5313.731046519999,0.9947
2022-06-25,742895,0.953541799671,13.366848,14074.84948212,16958.28946243,221961099.20676237,217926,-2883.4399803099986,1.0027
2022-06-26,734812,0.93595363596,12.75874405,11553.37882917,13322.8366526,202851865.00959057,207474,-1769.4578234300006,0.9971
2022-06-27,953524,0.92317584654,14.60033741,47467.64967195,30652.47436352,199911982.66258603,258934,16815.17530843,0.9916
2022-06-28,922274,0.902427057507,14.31358989,33676.45524564,35245.66011336,214611394.39760864,253741,-1569.20486772,0.9954
2022-06-29,899514,0.895265183982,12.92625421,49333.43942118,65981.43180735,221961099.20676237,257517,-16647.99238617,0.9948
